,domains,eot,dap,censys
0,standards.usa.gov,True,True,True
1,standards.usa.gov,True,True,True
2,0-ncbi.nlm.nih.gov,True,False,False
3,000.tlsa.good.test.dnsops.gov,False,False,True
4,000badcu.tlsa.bad.test.dnsops.gov,False,False,True
5,000ee.tlsa.grey.test.dnsops.gov,False,False,True
6,000key.tlsa.bad.test.dnsops.gov,False,False,True
7,000trunc.tlsa.bad.test.dnsops.gov,False,False,True
8,001-smtp-out.usda.gov,False,False,True
9,001-um-out-1.usda.gov,False,False,True
10,001.tlsa.good.test.dnsops.gov,False,False,True
11,001ee.tlsa.grey.test.dnsops.gov,False,False,True
12,001host.dns.good.test.dnsops.gov,False,False,True
13,001int.tlsa.good.test.dnsops.gov,False,False,True
14,001key.tlsa.bad.test.dnsops.gov,False,False,True
15,001trunc.tlsa.bad.test.dnsops.gov,False,False,True
16,002.tlsa.good.test.dnsops.gov,False,False,True
17,00unkhash.tlsa.bad.test.dnsops.gov,False,False,True
18,00wronghash.tlsa.bad.test.dnsops.gov,False,False,True
19,01.inv.itb.fbi.gov,False,False,True
20,010.nihweb2.cit.nih.gov,True,False,False
21,010.tlsa.good.test.dnsops.gov,False,False,True
22,010cert.tlsa.bad.test.dnsops.gov,False,False,True
23,011.tlsa.good.test.dnsops.gov,False,False,True
24,011cert.tlsa.bad.test.dnsops.gov,False,False,True
25,011int.tlsa.good.test.dnsops.gov,False,False,True
26,012.tlsa.good.test.dnsops.gov,False,False,True
27,013.webstaging2.cit.nih.gov,True,False,False
28,040.webstaging2.cit.nih.gov,True,False,False
29,053.webstaging2.cit.nih.gov,True,False,False
30,054.nhwg.cap.gov,True,False,False
31,062800.ninds.nih.gov,True,False,False
32,07.grants.gov,True,False,False
33,073.webstaging2.cit.nih.gov,True,False,False
34,090.nihweb5.cit.nih.gov,True,False,False
35,0badsel.tlsa.bad.test.dnsops.gov,False,False,True
36,0rs01323.od.nih.gov,True,False,False
37,0rs013ftp1.od.nih.gov,True,False,False
38,0rs013space.od.nih.gov,True,False,False
39,0sud2zwje3.adlnet.gov,True,False,False
40,0www.moneyfactory.gov,True,False,False
41,0www.nctc.gov,True,False,False
42,0www.usich.gov,True,False,False
43,1.arl.noaa.gov,True,False,False
44,1.dfrc.nasa.gov,True,False,False
45,1.edspace.nasa.gov,True,False,False
46,1.eeoc.gov,True,False,False
47,1.eere.energy.gov,True,False,False
48,1.faa.gov,True,False,False
49,1.ftc.gov,True,False,False
50,1.msfc.nasa.gov,True,False,False
51,1.nasa.gov,True,False,False
52,1.ncdc.noaa.gov,True,False,False
53,1.ncmb.uscourts.gov,True,False,False
54,1.opm.gov,True,False,False
55,1.phenix.bnl.gov,True,False,False
56,1.usa.gov,True,True,True
57,1.usaid.gov,True,False,False
58,1.usgs.gov,True,False,False
59,1.va.gov,True,False,False
60,1.www4.irs.gov,True,False,False
61,100.nist.gov,True,False,False
62,100.tlsa.good.test.dnsops.gov,False,False,True
63,100badcu.tlsa.bad.test.dnsops.gov,False,False,True
64,100subvertca.tlsa.bad.test.dnsops.gov,False,False,True
65,100trunc.tlsa.bad.test.dnsops.gov,False,False,True
66,101.tlsa.good.test.dnsops.gov,False,False,True
67,1010ez.med.va.gov,True,False,False
68,101host.dns.good.test.dnsops.gov,False,False,True
69,101rk.cert.bad.test.dnsops.gov,False,False,True
70,101subvertca.tlsa.bad.test.dnsops.gov,False,False,True
71,101trunc.tlsa.bad.test.dnsops.gov,False,False,True
72,102.tlsa.good.test.dnsops.gov,False,False,True
73,1050pur31.ncifcrf.gov,True,False,False
74,1050pur32.ncifcrf.gov,True,False,False
75,1050pur33.ncifcrf.gov,True,False,False
76,10unkhash.tlsa.bad.test.dnsops.gov,False,False,True
77,10wronghash.tlsa.bad.test.dnsops.gov,False,False,True
78,11.jsc.nasa.gov,True,False,False
79,11.msfc.nasa.gov,True,False,False
80,110.tlsa.good.test.dnsops.gov,False,False,True
81,111.tlsa.good.test.dnsops.gov,False,False,True
82,11111011100.api2.whitehouse.gov,False,False,True
83,11111011100.bot.whitehouse.gov,False,False,True
84,11111011100.dashboard.whitehouse.gov,False,False,True
85,11111011100.petitions.whitehouse.gov,False,True,True
86,11111011100.whitehouse.gov,True,True,False
87,111_freshmen.house.gov,True,False,False
88,112.tlsa.good.test.dnsops.gov,False,False,True
89,113transition.house.gov,True,False,False
90,119th.miwg.cap.gov,True,False,False
91,11bm.xor.aps.anl.gov,True,False,False
92,11bm.xray.aps.anl.gov,True,False,False
93,11ch0208.nichd.nih.gov,False,False,True
94,123d.ncifcrf.gov,True,False,False
95,12bm.xray.aps.anl.gov,True,False,False
96,12id.xray.aps.anl.gov,True,False,False
97,12landlords.jpl.nasa.gov,False,False,True
98,1303.gp2.pawg.cap.gov,True,False,False
99,1303.gp5.pawg.cap.gov,True,False,False
100,13bmcam.cars.aps.anl.gov,True,False,False
101,1540.sandia.gov,True,False,True
102,1800quitnow.cancer.gov,True,False,False
103,1813.anl.gov,True,False,False
104,1861.history.state.gov,True,True,True
105,1890scholars.program.usda.gov,True,False,False
106,1890scholarsprogram.usda.gov,True,False,False
107,18f.gov,True,False,True
108,18f.gsa.gov,True,True,True
109,18franklin.18f.gov,False,False,True
110,1918.pandemicflu.gov,True,False,True
111,1930census.archives.gov,True,False,False
112,1930census.nara.gov,True,False,False
113,1940census.archives.gov,True,False,True
114,1991.history.state.gov,True,True,True
115,1993-2001.state.gov,True,False,False
116,1997-2001.state.gov,True,True,False
117,19january2017snapshot.epa.gov,False,True,True
118,1b.cms.gov,True,False,False
119,1badsel.tlsa.bad.test.dnsops.gov,False,False,True
120,1bts.rita.dot.gov,True,False,True
121,1c3rs.rita.dot.gov,True,False,True
122,1climate.dot.gov,True,False,False
123,1d.cms.gov,True,False,False
124,1hashbadsel.tlsa.bad.test.dnsops.gov,False,False,True
125,1keybadsel.tlsa.bad.test.dnsops.gov,False,False,True
126,1ncfo.rita.dot.gov,False,False,True
127,1pnt.rita.dot.gov,True,False,False
128,1stop.usgs.gov,True,False,True
129,1utc.rita.dot.gov,True,False,False
130,1wv19vsec01.nrel.gov,False,False,True
131,1wv19vsec02.nrel.gov,False,False,True
132,2-pcmdi.llnl.gov,True,False,False
133,2.abmc.gov,True,False,False
134,2.airweb.faa.gov,True,False,False
135,2.bfrl.nist.gov,True,False,False
136,2.bnl.gov,True,False,False
137,2.ca3.uscourts.gov,True,False,False
138,2.cacb.uscourts.gov,True,False,False
139,2.cdc.gov,True,False,False
140,2.census.gov,True,False,False
141,2.coastalscience.noaa.gov,True,False,False
142,2.crh.noaa.gov,True,False,False
143,2.ed.gov,True,False,False
144,2.epa.gov,True,False,False
145,2.faa.gov,True,False,False
146,2.fbi.gov,True,False,False
147,2.fcc.gov,True,False,False
148,2.fdic.gov,True,False,False
149,2.fedshirevets.gov,True,False,False
150,2.fema.gov,True,False,False
151,2.flnb.uscourts.gov,True,False,False
152,2.fmc.gov,True,False,False
153,2.foia.state.gov,True,False,False
154,2.ftc.gov,True,False,False
155,2.gud.uscourts.gov,True,False,False
156,2.hanford.gov,True,False,False
157,2.helpwithmybank.gov,True,False,False
158,2.jpl.nasa.gov,True,False,False
159,2.kyeb.uscourts.gov,True,False,False
160,2.metcer.ameslab.gov,True,False,False
161,2.nature.nps.gov,True,False,False
162,2.nccos.noaa.gov,True,False,False
163,2.ncdc.noaa.gov,True,False,False
164,2.nidcr.nih.gov,True,False,False
165,2.niddk.nih.gov,True,False,False
166,2.ntia.doc.gov,True,False,False
167,2.occ.gov,True,False,False
168,2.opm.gov,True,False,False
169,2.osha.gov,True,False,False
170,2.training.nih.gov,True,False,False
171,2.va.gov,True,False,False
172,2.vaeb.uscourts.gov,True,False,False
173,2.www4.irs.gov,True,False,False
174,2001-2009.commerce.gov,True,False,False
175,2001-2009.state.gov,True,True,False
176,2001.cancer.gov,True,False,False
177,2001.nci.nih.gov,True,False,False
178,2001annualreport.nichd.nih.gov,True,False,False
179,2002-2009-fpc.state.gov,True,True,False
180,2002-2009-mepi.state.gov,True,True,False
181,2002-2009-usawc.state.gov,True,True,False
182,2002.blm.gov,True,False,False
183,2002.cancer.gov,True,False,False
184,2002annualreport.nichd.nih.gov,True,False,False
185,2003annualreport.nichd.nih.gov,True,False,False
186,2004-2009-sdp.state.gov,True,True,False
187,2004annualreport.nichd.nih.gov,True,False,False
188,2005-2009-bmena.state.gov,True,True,False
189,2005annualreport.nichd.nih.gov,True,False,False
190,2006-2009-cafc.state.gov,True,True,False
191,2006-2009.pepfar.gov,True,True,True
192,2006annualreport.nichd.nih.gov,True,False,False
193,2007annualreport.nichd.nih.gov,True,False,False
194,2008-2009.app.gov,True,False,False
195,2008annualreport.nichd.nih.gov,True,False,False
196,2008tsfarm.cns.gov,False,False,True
197,2009-2017-fpc.state.gov,False,True,False
198,2009-2017.pepfar.gov,False,True,True
199,2009-2017.state.gov,False,True,False
200,2009annualreport.nichd.nih.gov,True,False,False
201,2010-2014.commerce.gov,True,True,False
202,2010.census.gov,True,False,False
203,2010annualreport.nichd.nih.gov,True,False,False
204,2011.census.gov,True,False,False
205,2011annualreport.nichd.nih.gov,True,False,False
206,2011showcase.lbl.gov,True,False,False
207,2011usersmeeting.conference.anl.gov,True,False,False
208,2012-keystonepipeline-xl.state.gov,False,True,False
209,2012annualreport.nichd.nih.gov,True,False,False
210,2012serviceimpact.challenge.gov,True,False,False
211,2012sgr.challenge.gov,True,False,False
212,2013.volunteeringinamerica.gov,True,False,False
213,2013annualreport.nichd.nih.gov,True,False,False
214,2013serviceimpact.challenge.gov,True,False,False
215,2014-2017.commerce.gov,False,True,False
216,2016.bbg.gov,False,False,True
217,2016.export.gov,True,True,True
218,2016.trade.gov,False,True,False
219,2017dodtransition.defense.gov,False,True,True
220,2020census.gov,True,False,False
221,2021887.ksc.nasa.gov,True,False,False
222,205-156-36-127.ssmcnet.noaa.gov,True,False,False
223,21apr.ed.gov,False,False,True
224,222.adlnet.gov,True,False,False
225,222.moneyfactory.gov,True,False,False
226,22222022200.dashboard.whitehouse.gov,False,False,True
227,225.sandia.gov,False,False,True
228,263.usajobs.gov,True,False,False
229,28.nctc.gov,True,False,False
230,2a.cdc.gov,True,False,False
231,2bm.xor.aps.anl.gov,True,False,False
232,2bprecise-dev.cc.nih.gov,False,False,True
233,2bprecise-test.cc.nih.gov,False,False,True
234,2bprecise.cc.nih.gov,False,False,True
235,2bts.rita.dot.gov,True,False,True
236,2c.cdc.gov,True,False,False
237,2c3rs.rita.dot.gov,False,False,True
238,2climate.dot.gov,True,False,False
239,2dmsl.cpg.mtmc.gov,False,False,True
240,2fwww.usich.gov,True,False,False
241,2idb.xor.aps.anl.gov,True,False,False
